"","X","sample_ID","upper_depth","lower_depth","SOC_stock_spline","site","geomorphons","HLI","Precip","Temp","WIP","tree_canopy_cover","NDVI_median","MNDWI_median","EVI_median","SCI_median","SAVI_median","EMBI_median","DSI_median","DSWI1_median","NDYI_median","LSWI_median","ANDWI_median","LITHOLOGY","GEOLOGIC_AGE"
"107",107,"H-W-06-TNC",30,100,0.0120434768976797,"HOH","b",0.758296012878418,2684.564453125,10.1214027404785,0.529337346553802,64.602653503418,0.906675100326538,-0.537366151809692,0.677432775497437,0.751788973808289,0.612365067005157,-0.00969969946891069,0.340612143278122,2.93912029266357,0.336538523435593,0.491962850093842,-0.757720947265625,"alluvium","Quaternary"
"108",108,"H-W-08-TNC",0,30,0.415274846010313,"HOH","b",0.691240191459656,2684.564453125,10.1214027404785,0.210975885391235,70.0037612915039,0.879114985466003,-0.479166716337204,0.504699945449829,0.656845569610596,0.492811560630798,-0.0625302791595459,0.3263039290905,3.06488132476807,0.425608336925507,0.507957279682159,-0.733154058456421,"glacial outwash, alpine, Fraser-age","Pleistocene"
"109",109,"H-W-08-TNC",30,100,0.574542666236183,"HOH","b",0.691240191459656,2684.564453125,10.1214027404785,0.210975885391235,70.0037612915039,0.879114985466003,-0.479166716337204,0.504699945449829,0.656845569610596,0.492811560630798,-0.0625302791595459,0.3263039290905,3.06488132476807,0.425608336925507,0.507957279682159,-0.733154058456421,"glacial outwash, alpine, Fraser-age","Pleistocene"
"110",110,"H-W-11-2020",0,30,0.683825104942518,"HOH","g",0.730214357376099,3023.96875,10.1430788040161,0.660662651062012,67.3419570922852,0.912244021892548,-0.477804899215698,0.545516967773438,0.712222278118134,0.531648755073547,-0.119113132357597,0.281706660985947,3.55111145973206,0.551866590976715,0.560447990894318,-0.777898728847504,"glacial outwash, alpine, Fraser-age","Pleistocene"
"111",111,"H-W-11-2020",30,100,0.52117251489401,"HOH","g",0.730214357376099,3023.96875,10.1430788040161,0.660662651062012,67.3419570922852,0.912244021892548,-0.477804899215698,0.545516967773438,0.712222278118134,0.531648755073547,-0.119113132357597,0.281706660985947,3.55111145973206,0.551866590976715,0.560447990894318,-0.777898728847504,"glacial outwash, alpine, Fraser-age","Pleistocene"
"112",112,"H-W-13-2020",0,30,2.12253992066193,"HOH","f",0.692301511764526,2873.56811523438,10.1494665145874,0.389494031667709,71.0347137451172,0.874368011951447,-0.451690018177032,0.429289966821671,0.675549149513245,0.439402878284454,-0.0760527327656746,0.349037051200867,2.86503148078918,0.620875775814056,0.482539176940918,-0.734742105007172,"glacial outwash, alpine, Fraser-age","Pleistocene"
"113",113,"H-W-13-2020",30,100,0.869496105125533,"HOH","f",0.692301511764526,2873.56811523438,10.1494665145874,0.389494031667709,71.0347137451172,0.874368011951447,-0.451690018177032,0.429289966821671,0.675549149513245,0.439402878284454,-0.0760527327656746,0.349037051200867,2.86503148078918,0.620875775814056,0.482539176940918,-0.734742105007172,"glacial outwash, alpine, Fraser-age","Pleistocene"
"114",114,"H-W-15-2020",0,30,0.812229582933311,"HOH","g",0.559429109096527,2803.142578125,10.105278968811,0.410662621259689,68.2469177246094,0.814524114131927,-0.423015654087067,0.474659085273743,0.610732197761536,0.469654351472855,-0.0527790896594524,0.420081108808517,2.38749146461487,0.502573370933533,0.408732056617737,-0.662811517715454,"alpine glacial outwash, pre-Wisconsinan","Pleistocene"
"115",115,"H-W-15-2020",30,100,0.306086911731885,"HOH","g",0.559429109096527,2803.142578125,10.105278968811,0.410662621259689,68.2469177246094,0.814524114131927,-0.423015654087067,0.474659085273743,0.610732197761536,0.469654351472855,-0.0527790896594524,0.420081108808517,2.38749146461487,0.502573370933533,0.408732056617737,-0.662811517715454,"alpine glacial outwash, pre-Wisconsinan","Pleistocene"
"116",116,"H-W-22-2020",0,30,0.441032590931081,"HOH","f",0.757384240627289,2928.236328125,10.1270875930786,0.328554213047028,64.1090698242188,0.851069450378418,-0.442636996507645,0.470046609640121,0.646657586097717,0.467862576246262,-0.0598795376718044,0.38090854883194,2.62766003608704,0.554719030857086,0.448421269655228,-0.701181769371033,"alpine glacial outwash, pre-Fraser","Pleistocene"
